MK-312BT Mouser BOM Updated 4/18/2026,,,,,,,
Designator,Description,Quantity Per Unit,Supplier Part #,Part #,Sourced?,Mouser URL,Amazon URL
Gray button covers,Button Cover,2,611-BTND610F,BTND610F,X,https://www.mouser.com/c/?q=611-BTND610F,https://www.amazon.com/s?k=BTND610F
White button covers,Button Cover,2,611-BTND600F,BTN D6 00 F,X,https://www.mouser.com/c/?q=611-BTND600F,https://www.amazon.com/s?k=BTN%20D6%2000%20F
LCD HEADER,LCD Header,1,710-61301611121,61301611121,X,https://www.mouser.com/c/?q=710-61301611121,https://www.amazon.com/s?k=61301611121
Knob,Potentiometer Knob,3,450-BA761,BA761,X,https://www.mouser.com/c/?q=450-BA761,https://www.amazon.com/s?k=BA761
BAT1,Lead Acid Battery,1,547-PS-1220,PS-1220,X,https://www.mouser.com/c/?q=547-PS-1220,https://www.amazon.com/s?k=PS-1220
BAT1 Lugs,Crimp Lubs for BAT1,2,534-8291,534-8291,X,https://www.mouser.com/c/?q=534-8291,https://www.amazon.com/s?k=534-8291
Power Supply,"18V, 1A .5.5mm OD plug",1,709-GST18U18-P1J,GST18U18-P1J,X,https://www.mouser.com/c/?q=709-GST18U18-P1J,https://www.amazon.com/s?k=GST18U18-P1J
20K Opt. Variant,RES 18K,2,660-MF1/4DCT52R1802F,MF1/4DCT52R1802F,X,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R1802F,https://www.amazon.com/s?k=MF1%2F4DCT52R1802F
R30,RES 0.27R 1W,1,660-MOSX1CT528RR27J,MOSX1CT528RR27J,X,https://www.mouser.com/c/?q=660-MOSX1CT528RR27J,https://www.amazon.com/s?k=MOSX1CT528RR27J
(LED Brightness Opt. 1),RES 100R,1,660-MF1/4DCT52R1000F,MF1/4DCT52R1000F,X,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R1000F,https://www.amazon.com/s?k=MF1%2F4DCT52R1000F
(LED Brightness Opt. 2),RES 150R,1,660-MF1/4DCT52R1500F,MF1/4DCT52R1500F,X,https://www.mouser.com/c/?q=660-MF1%2F4DCT52R1500F,https://www.amazon.com/s?k=MF1%2F4DCT52R1500F
